,threshold,test_recall_score,test_f1_score,test_precision_score
57,9.163998824404598e-05,1.0,0.07581227436823104,0.039399624765478425
58,9.681661988631054e-05,1.0,0.07650273224043716,0.03977272727272727
59,9.945008778623292e-05,1.0,0.07692307692307693,0.04
60,0.00010764539513238822,1.0,0.07706422018348623,0.04007633587786259
61,0.00010953919253541323,1.0,0.07720588235294117,0.040152963671128104
62,0.00011344729178898337,1.0,0.07734806629834255,0.040229885057471264
63,0.00011448745660039297,1.0,0.07749077490774908,0.04030710172744722
64,0.0001149832859481206,1.0,0.07806691449814127,0.04061895551257253
65,0.00012004862900833075,1.0,0.07835820895522388,0.040776699029126215
66,0.00012778806333959642,1.0,0.07894736842105263,0.0410958904109589
67,0.0001292845901409452,1.0,0.0790960451977401,0.041176470588235294
68,0.0001340626695994878,1.0,0.08045977011494253,0.041916167664670656
69,0.00013615161255259948,1.0,0.08092485549132947,0.04216867469879518
70,0.00013770465547534598,1.0,0.0821917808219178,0.04285714285714286
71,0.0001386784874743095,1.0,0.08235294117647059,0.04294478527607362
72,0.00013961631034716603,1.0,0.08267716535433071,0.043121149897330596
73,0.0001453627691521215,1.0,0.08300395256916995,0.04329896907216495
74,0.00014804116531149218,1.0,0.08333333333333333,0.043478260869565216
75,0.0001540730046127955,1.0,0.08383233532934131,0.04375
76,0.0001572528098341881,1.0,0.08536585365853658,0.044585987261146494
77,0.0001629010757043828,1.0,0.08571428571428572,0.04477611940298507
78,0.00016530657116723912,1.0,0.08588957055214723,0.04487179487179487
79,0.00016603896433168124,1.0,0.08768267223382047,0.04585152838427948
80,0.00016916829264207936,1.0,0.08860759493670886,0.046357615894039736
81,0.0001797200820825384,1.0,0.08955223880597014,0.046875
82,0.00018262932265201883,1.0,0.09110629067245118,0.04772727272727273
83,0.0001864313959574717,1.0,0.09170305676855896,0.04805491990846682
84,0.0001900683857165994,1.0,0.09230769230769231,0.04838709677419355
85,0.000191774950417583,1.0,0.09271523178807947,0.04861111111111111
86,0.0001922323086679022,1.0,0.09333333333333334,0.04895104895104895
87,0.00019360514976796684,1.0,0.09395973154362416,0.04929577464788732
88,0.00019402061404516553,1.0,0.09417040358744394,0.04941176470588235
89,0.00019416397159153432,1.0,0.09480812641083522,0.04976303317535545
90,0.0001960104453537341,1.0,0.09502262443438915,0.0498812351543943
91,0.0001985696167395145,1.0,0.09545454545454544,0.050119331742243436
92,0.00020153924239462882,1.0,0.09699769053117782,0.050970873786407765
93,0.00020359516122245546,1.0,0.09722222222222222,0.051094890510948905
94,0.0002057218854646213,1.0,0.09767441860465116,0.05134474327628362
95,0.0002057299433966666,1.0,0.09836065573770492,0.05172413793103448
96,0.00020667984860981027,1.0,0.09859154929577466,0.05185185185185185
97,0.00021741434330864679,1.0,0.09905660377358491,0.052109181141439205
